Rank,Team,Location,YTD,TOTAL
1.,Kaldvee/Lill,Estonia,152.3,193.5
2.,Skaslien/Nedregotten,Norway,122.6,160.4
3.,Gill/Hewitt,Australia,127.5,144.5
4.,Koana/Aoki,Japan,112.6,140.7
5.,Walker/Muyres,Alberta,95.0,128.4
6.,Dodds/Mouat,Great Britain,122.7,125.1
7.,Matsumura/Tanida,Japan,94.4,122.0
8.,Martin/Laycock,Saskatchewan,86.4,106.3
9.,Perret/Rios,Switzerland,82.5,99.8
10.,Jones/Laing,Ontario,71.4,89.1
11.,Jackson/McFadzean,Great Britain,79.8,87.0
12.,Zheng/Pietrangelo,Ontario,70.6,85.3
13.,Sandham/Craig,Ontario,71.0,85.0
14.,Homan/Bottcher,Alberta,76.6,80.5
15.,Weagle/Epping,Ontario,56.8,76.2
16.,Gionest/Desjardins,Quebec,56.3,73.2
17.,Wasylkiw/Konings,Ontario,58.5,72.0
18.,Abbes/Harsch,Germany,60.8,71.8
19.,Morrison/Lammie,Great Britain,69.1,69.4
20.,Lott/Lott,Manitoba,40.5,65.5
21.,Armstrong/Griffith,British Columbia,48.6,61.6
22.,Westman/Ahlberg,Sweden,46.5,60.9
23.,Thiesse/Dropkin,Minnesota,41.6,60.0
24.,Peterman/Gallant,Alberta,45.0,58.8
25.,Tran/Kleiter,Alberta,47.8,57.5
26.,Anderson/Stopera,Minnesota,45.0,57.2
27.,Neil/McDonald,Ontario,49.9,55.4
28.,Cotter/Cotter,British Columbia,35.6,54.5
29.,Adams/Robichaud,New Brunswick,41.0,53.1
30.,Sluchinski/Sluchinski,Alberta,38.3,49.6
31.,Han/Wang,China,40.9,49.4
32.,Powers/Saunders,Nova Scotia,33.8,48.4
33.,Yang/Tian,China,34.3,48.2
34.,Papley/Van Amsterdam,Alberta,29.2,46.5
35.,Engler/Wunderlin,Switzerland,35.9,45.4
36.,Paetz/Michel,Switzerland,35.4,45.3
37.,Gagne/Morissette,Quebec,30.5,44.6
38.,Zelingrova/Chabicovsky,Czechia,38.3,44.5
39.,Smith/Thomson,Ontario,37.1,44.2
40.,Roenning/Braenden,Norway,18.8,44.1
41.,Walczak/Augustyniak,Poland,32.4,42.0
