Rank,Team,Location,YTD,TOTAL
1.,Kaldvee/Lill,Estonia,191.5,191.5
2.,Gill/Hewitt,Australia,162.3,162.3
3.,Skaslien/Nedregotten,Norway,154.4,154.4
4.,Koana/Aoki,Japan,129.6,129.6
5.,Dodds/Mouat,Great Britain,122.7,122.7
6.,Matsumura/Tanida,Japan,115.6,115.6
7.,Homan/Bottcher,Alberta,115.1,115.1
8.,Walker/Muyres,Alberta,105.5,105.5
9.,Peterman/Gallant,Alberta,97.5,97.5
10.,Perret/Rios,Switzerland,94.5,94.5
11.,Martin/Laycock,Saskatchewan,93.1,93.1
12.,Jones/Laing,Ontario,92.4,92.4
13.,Sandham/Craig,Ontario,90.3,90.3
14.,Weagle/Epping,Ontario,88.3,88.3
15.,Wasylkiw/Konings,Ontario,82.8,82.8
16.,Jackson/McFadzean,Great Britain,79.8,79.8
17.,Abbes/Harsch,Germany,79.5,79.5
18.,Zheng/Pietrangelo,Ontario,78.5,78.5
19.,Roenning/Braenden,Norway,78.3,78.3
20.,Tran/Kleiter,Alberta,75.8,75.8
21.,Morrison/Lammie,Great Britain,69.1,69.1
22.,Gionest/Desjardins,Quebec,64.8,64.8
23.,Neil/McDonald,Ontario,58.9,58.9
24.,Wrana/Wrana,Sweden,57.0,57.0
25.,Cotter/Cotter,British Columbia,56.6,56.6
26.,Armstrong/Griffith,British Columbia,56.5,56.5
27.,Engler/Wunderlin,Switzerland,51.9,51.9
28.,Lott/Lott,Manitoba,51.0,51.0
29.,Westman/Ahlberg,Sweden,50.3,50.3
30.,Adams/Robichaud,New Brunswick,50.0,50.0
31.,Bouchard/Charest,Quebec,50.0,50.0
32.,Smith/Thomson,Ontario,49.9,49.9
33.,Walczak/Augustyniak,Poland,48.0,48.0
34.,Han/Wang,China,47.6,47.6
35.,Hasselborg/Eriksson,Sweden,47.3,47.3
36.,Tremblay/Lanoue,Quebec,45.4,45.4
37.,Anderson/Stopera,Minnesota,45.0,45.0
38.,Thiesse/Dropkin,Minnesota,41.6,41.6
39.,Sinclair/Brydone,Scotland,41.3,41.3
40.,Gagne/Morissette,Quebec,39.5,39.5
41.,Sluchinski/Sluchinski,Alberta,38.3,38.3
42.,Zelingrova/Chabicovsky,Czechia,38.3,38.3
43.,Kim/Seong,Korea,38.1,38.1
44.,Powers/Saunders,Nova Scotia,37.5,37.5
45.,Ford/Campbell,Ontario,37.0,37.0
46.,Spruit/Spruit,Ontario,37.0,37.0
47.,Springer/Springer,Saskatchewan,36.0,36.0
48.,Paetz/Michel,Switzerland,35.4,35.4
49.,Bear/Oldenburg,Minnesota,35.0,35.0
50.,Arbuckle/Macdonell,Manitoba,34.9,34.9
51.,Papley/Van Amsterdam,Alberta,34.4,34.4
52.,Yang/Tian,China,34.3,34.3
53.,Moores/Wheeler,Colorado,33.7,33.7
54.,Weeks/Steep,Ontario,33.6,33.6
55.,Gamble/Kalthoff,Saskatchewan,33.6,33.6
56.,Just/Cherpin,Saskatchewan,32.9,32.9
57.,Henderson/Hardie,Great Britain,32.3,32.3
58.,Mackenzie/Middleton,British Columbia,32.1,32.1
59.,Fellmann/Kovalchuk,Quebec,32.0,32.0
60.,Holterman/Holtermann,Denmark,31.5,31.5
61.,Bailey/Sipura,Ontario,30.4,30.4
62.,Maheux/Maheux,Quebec,30.3,30.3
63.,Woo/Wenzek,British Columbia,28.5,28.5
64.,Yildiz/Cakir,Turkiye,27.6,27.6
65.,Daly/Violette,Minnesota,27.2,27.2
66.,McGovern/Nathan,Ontario,26.5,26.5
67.,Hamilton/Hamilton,Wisconsin,26.3,26.3
68.,Paulova/Paul,Czechia,26.1,26.1
69.,Dong/Fei,China,25.9,25.9
70.,Anderson-Heide/Richardson,Minnesota,25.8,25.8
71.,Otaegi/Unanue,Spain,24.8,24.8
72.,Parmiter/Burgess,New Brunswick,24.4,24.4
73.,Reese-Hansen/Chester,British Columbia,24.4,24.4
74.,Brunton/Horgan,Ontario,24.4,24.4
75.,Laplante/Gibeau,Quebec,23.9,23.9
76.,Roach/Gilbert,Ontario,23.8,23.8
77.,McMillan/Bryce,Scotland,23.4,23.4
78.,Davie/Watt,Scotland,23.4,23.4
79.,Immonen/Sipila,Finland,21.9,21.9
80.,Sanscartier/Caron,Quebec,21.5,21.5
81.,Ford/Krowchuk,Ontario,21.2,21.2
82.,Burghout/Thompson,Ontario,21.0,21.0
83.,Riley/Mullen,Quebec,20.6,20.6
84.,Baker/Lott,Manitoba,19.0,19.0
85.,Ouellet/Rousseau,Quebec,18.7,18.7
86.,Weldon/Franey,Colorado,18.4,18.4
87.,Smith/Smith,New Zealand,17.8,17.8
88.,Munro/Whyte,Great Britain,17.4,17.4
89.,Tiuliakova/Totzek,Germany,17.3,17.3
90.,Lyburn/Lyburn,Manitoba,17.3,17.3
91.,Schwaller/Schwaller,Switzerland,16.5,16.5
92.,de Val/Magnusson,Sweden,16.5,16.5
93.,Gaidule/Buncis,Latvia,16.0,16.0
94.,Kitazawa/Usui,Japan,15.8,15.8
95.,Kiemele/Singer,Ontario,15.6,15.6
96.,Sweeting/Kennedy,Alberta,15.0,15.0
97.,Scalesse/Pimpini,Italy,15.0,15.0
98.,Wiseman/Smith,Newfoundland / Labrador,15.0,15.0
99.,Sturmay/Kleibrink,Alberta,14.8,14.8
100.,Heggestad/Heggestad,Ontario,14.3,14.3
101.,Butler/Butler,Ontario,14.1,14.1
102.,Suuripaa/Rantamaki,Finland,13.7,13.7
103.,Mulville/Hale,Ontario,13.5,13.5
104.,DiBaggio/Visnich,Ohio,13.5,13.5
105.,Cheal/Cheal,Quebec,13.5,13.5
106.,Cottenoir/Martel,Quebec,13.1,13.1
107.,Mallett/Jackson,Ontario,12.2,12.2
108.,Schmidt/Schmidt,Denmark,12.0,12.0
109.,Podoll/Parry,North Dakota,11.3,11.3
110.,St-Georges/Asselin,Quebec,11.0,11.0
111.,Kreviazuk/Mathers,Ontario,10.6,10.6
112.,Raniseth/Crough,Alberta,10.5,10.5
113.,Gargul/Girard,Montreal,10.1,10.1
114.,Beaulieu/Pelletier,Quebec,10.1,10.1
115.,McGillivray/Cowan,British Columbia,10.1,10.1
116.,Liscumb/Liscumb,Ontario,10.1,10.1
117.,Scebbi/Scebbi,Ohio,10.1,10.1
118.,Gargul/Girard,Quebec,10.1,10.1
119.,Zardini Lacedelli/De Zanna,Italy,10.0,10.0
120.,Lamontagne/LaMontagne,Saskatchewan,9.8,9.8
121.,Wendling/Paral,Wisconsin,9.4,9.4
122.,Wynter/Sallaj,New Brunswick,9.3,9.3
123.,Billo/Martin,Quebec,9.0,9.0
124.,Skrlik/Harty,Alberta,9.0,9.0
125.,Mitchell/Johnston,Scotland,8.3,8.3
126.,Mueller/Seiwald,Austria,8.3,8.3
127.,Lipinska/Stych,Poland,8.3,8.3
128.,Wilson/Dow,Ontario,8.1,8.1
129.,Cinnamon/Davies,Alberta,8.0,8.0
130.,Barber/Heidt,Saskatchewan,7.9,7.9
131.,Tanaka/Sato,Japan,7.9,7.9
132.,Feldkamp/Villard,Ontario,7.5,7.5
133.,Robertson/Robertson,Ontario,7.5,7.5
134.,Neary/Hancock,Newfoundland / Labrador,7.5,7.5
135.,Holt/Brenden,North Dakota,7.5,7.5
136.,McCutcheon/Duizer,Ontario,7.5,7.5
137.,Roth/Nernberger,Wisconsin,7.5,7.5
138.,Armstrong/Woods,Ontario,7.5,7.5
139.,Gates/Montpellier,Northern Ontario,7.5,7.5
140.,McGillivray/Croteau,British Columbia,7.3,7.3
141.,Kalk/MacAlpine,Alberta,7.3,7.3
142.,Sykorova/Sykora,Slovakia,7.0,7.0
143.,Nilsson/Olofsson,Sweden,7.0,7.0
144.,Tian/Tian,China,6.9,6.9
145.,Senneker/Gleaton,Michigan,6.9,6.9
146.,Turbow/Kot,Colorado,6.8,6.8
147.,Farkova/Jakl,Czechia,6.8,6.8
148.,Geving/Shuster,Minnesota,6.8,6.8
149.,Paquette/Daoust,Northern Ontario,6.7,6.7
150.,Schoell/Angrick,Germany,6.6,6.6
151.,Chou/Liu,Chinese Taipei,6.6,6.6
152.,Kraft/Kraft,North Dakota,6.4,6.4
153.,Dudt/Dudt,Pennsylvania,6.4,6.4
154.,Hagenbuch/Laufer,Illinois,6.4,6.4
155.,Nickel/Nickel,Wisconsin,6.4,6.4
156.,Godin/Charbonneau,Quebec,6.4,6.4
157.,Johnson/Podhradsky,Minnesota,6.3,6.3
158.,Mallett/Meister,British Columbia,6.2,6.2
159.,Chao/Fowler,Illinois,6.0,6.0
160.,Trembath/Grassie,Manitoba,6.0,6.0
161.,Henry/Gordon,Manitoba,6.0,6.0
162.,Farwell/Rose,Colorado,6.0,6.0
163.,Lee/Jang,Korea,6.0,6.0
164.,Tonoli/Gosgens,Netherlands,6.0,6.0
165.,Damen/Van Amsterdam,Alberta,5.7,5.7
166.,Kalocsai-van Dorp/Kalocsay,Hungary,5.6,5.6
167.,Ostrowski/Botterill,Minnesota,5.4,5.4
168.,Workin/Workin,North Dakota,5.4,5.4
169.,Richards/Tao,Alberta,5.4,5.4
170.,Oestgaard/Eriksen,Norway,5.3,5.3
171.,Dubberstein/Malvar,Philippines,5.3,5.3
172.,Kashiwagi/Nisato,Japan,5.3,5.3
173.,Hung/Chang,Hong Kong,5.3,5.3
174.,Ueno/Yamaguchi,Japan,5.3,5.3
175.,Dubberstein/Malvar,Philippines,5.3,5.3
176.,Mayra/Kirby,Michigan,5.3,5.3
177.,Johnston/Johnston,New Brunswick,5.1,5.1
178.,Brissette/Fadden,British Columbia,5.1,5.1
179.,Headley/Headley,Ontario,5.1,5.1
180.,Munroe/Leong,Alberta,5.1,5.1
181.,Martins Ethier/Santos,Portugal,5.0,5.0
182.,Hussain/Husain,Guyana,5.0,5.0
183.,Forget/Robert,Ontario,5.0,5.0
184.,Ozeki/Aoki,Japan,4.8,4.8
185.,Johnson/Hebert,Minnesota,4.8,4.8
186.,Schweitzer/Hagberg,Minnesota,4.7,4.7
187.,Joo/Karasz,Hungary,4.7,4.7
188.,Fountain/Fountain,Colorado,4.5,4.5
189.,Jensen/Deng,British Columbia,4.5,4.5
190.,Cull/Garand,Quebec,4.5,4.5
191.,Smith/Bonin-Ducharme,Ontario,4.5,4.5
192.,Ouimet/Ouimet,Ontario,4.5,4.5
193.,Szurmay/Ferenci,Hungary,4.4,4.4
194.,Gourianova/Vidaurrazaga,Massachusetts,4.3,4.3
195.,Constantini/Zisa,Italy,4.3,4.3
196.,Wisniewski-Starkell/Wills,Saskatchewan,4.3,4.3
197.,Duff/Craik,Scotland,4.1,4.1
198.,Sasseville/Hudon,Quebec,4.1,4.1
199.,Cihlarova/Macek,Czechia,4.1,4.1
200.,Paisley/Spielman,Wisconsin,4.0,4.0
201.,Farrell/Thurston,Minnesota,4.0,4.0
202.,Stella/Carle,Colorado,3.9,3.9
203.,Funaki/Kamada,Japan,3.9,3.9
204.,Roy/Sonier,Quebec,3.9,3.9
205.,Onodera/Maeda,Japan,3.9,3.9
206.,Strouse/Fenner,Michigan,3.8,3.8
207.,Smith/Mosher,Nova Scotia,3.8,3.8
208.,Persinger/Casper,Alaska,3.8,3.8
209.,Jackson/McCrady,British Columbia,3.8,3.8
210.,Rivett/Rivett,Quebec,3.8,3.8
211.,Wahlin/Nygren,Sweden,3.8,3.8
212.,Kjaerland/Lilleboe,Norway,3.7,3.7
213.,Bookhout/Wiza,Wisconsin,3.6,3.6
214.,Belway/Belway,British Columbia,3.4,3.4
215.,Nilhamn/Kuosmanen,Finland,3.4,3.4
216.,Barclay/Hanson,New Brunswick,3.4,3.4
217.,Kawleski/Kauffman,Minnesota,3.4,3.4
218.,Myers/Lerner,Illinois,3.4,3.4
219.,Smith/Hood,New Zealand,3.3,3.3
220.,Santti/Santti,Finland,3.2,3.2
221.,Pifer/Pifer,North Carolina,3.1,3.1
222.,Jurkute/Rymeikis,Lithuania,3.0,3.0
223.,Yachiw-Omelian/Raymond,Saskatchewan,3.0,3.0
224.,Barron/Wilson,Ireland,3.0,3.0
225.,Kononenko/Shchur,Ukraine,3.0,3.0
226.,Gregori/Langus,Slovenia,3.0,3.0
227.,Kuzyk/Gamble,Saskatchewan,3.0,3.0
228.,Waltenberger/Jaeger,Germany,3.0,3.0
229.,Stolt/Stolt,Minnesota,3.0,3.0
230.,Englot/Schneider,Saskatchewan,3.0,3.0
231.,Hausstatter/Svorkmo-Lundberg,Norway,2.8,2.8
232.,Rhyme/Smith,Minnesota,2.8,2.8
233.,Moberg/Moberg,Sweden,2.8,2.8
234.,Barone/Zass,Latvia,2.8,2.8
235.,Fisher/Kolomaya,British Columbia,2.8,2.8
236.,Bush/Philips,Pennsylvania,2.8,2.8
237.,Gale Seixeiro/Seixeiro,British Columbia,2.7,2.7
238.,Sherry/Sherry,Illinois,2.6,2.6
239.,Cottrill/Cottrill,Ontario,2.6,2.6
240.,Tsuruga/Abe,Japan,2.6,2.6
241.,Barone/Nikolov,Latvia,2.6,2.6
242.,Nedohin/Hiebert,Alberta,2.6,2.6
243.,Tomabechi/Tomabechi,Japan,2.6,2.6
244.,Hara/Niino,Japan,2.6,2.6
245.,Rykove/Rykov,Lithuania,2.6,2.6
246.,Wheatcroft/Naugler,Alberta,2.6,2.6
247.,Tsuchiya/Okamura,Japan,2.6,2.6
248.,Iskiw/Hlushak,Alberta,2.6,2.6
249.,Howald/Lachat-Couchepin,Switzerland,2.4,2.4
250.,Fortin/Descoteaux,Quebec,2.4,2.4
251.,Rubenzer/Dobbs,Wisconsin,2.4,2.4
252.,Serra/Tompkins,Mexico,2.3,2.3
253.,Petersen/Becker,New Zealand,2.3,2.3
254.,Hallstroem/Patz,Sweden,2.1,2.1
255.,Kiiskinen/Kiiskinen,Finland,2.1,2.1
256.,Danahey/Allain,Colorado,2.1,2.1
257.,Jackson/Montgomery,Ontario,2.1,2.1
258.,Shipmaker/Shinde,Ontario,2.1,2.1
259.,Roenning/Daehlin,Norway,2.0,2.0
260.,Vaydich/McMullin,North Dakota,1.9,1.9
261.,Henwood/Maude,Ontario,1.9,1.9
262.,Walsh/Simin,California,1.9,1.9
263.,Harrison/Allen,Ontario,1.9,1.9
264.,Kenney/Scimia,Connecticut,1.9,1.9
265.,Chaudhari/Raju,India,1.9,1.9
266.,Daley/Vainio,Ontario,1.9,1.9
267.,Vandenborre/Lister,New Brunswick,1.9,1.9
268.,Hueppi/Weiss,Switzerland,1.9,1.9
269.,Kinney/Walker,New Zealand,1.8,1.8
270.,Becker/Becker,New Zealand,1.8,1.8
271.,Sonkham/Jearateerawit,Thailand,1.7,1.7
272.,Taylor/Gervais,Saskatchewan,1.7,1.7
273.,Coleman/Robertson,California,1.7,1.7
274.,Kim/Luu,Ontario,1.7,1.7
275.,Beauchemin/Amyotte,Quebec,1.7,1.7
276.,Peebo/Andre,Estonia,1.7,1.7
277.,Carlson/Carlson,Wisconsin,1.7,1.7
278.,Bradshaw/Kizlyk,Colorado,1.5,1.5
279.,Sobering/Sobering,Colorado,1.5,1.5
280.,Opel/Opel,England,1.5,1.5
281.,Hajduk/Horacek,Slovakia,1.5,1.5
282.,Potter/Shimko,Ohio,1.5,1.5
283.,Szeliga-Frynia/Szewczyk,Poland,1.5,1.5
284.,Radounikli/Arampatzis,Greece,1.5,1.5
285.,Kruzer/Gould,North Carolina,1.5,1.5
286.,Moskalenko/Suhak,Ukraine,1.5,1.5
287.,Booth/Morin,Alberta,1.5,1.5
288.,Oblander/Oblander,Ohio,1.5,1.5
289.,Thurston/Lannoye,Minnesota,1.5,1.5
290.,Pitts/Flanagan,New Zealand,1.5,1.5
291.,Konkol/Zalewski,Poland,1.5,1.5
292.,Smith-Windsor/Shillington,Saskatchewan,1.5,1.5
293.,Wiksten/Wiksten,Denmark,1.5,1.5
294.,Kaare/Padama,Estonia,1.5,1.5
295.,Silversides/Tessier,Saskatchewan,1.5,1.5
296.,Hackett/Hackett,Utah,1.5,1.5
297.,Plett/Hennigar,Alberta,1.3,1.3
298.,Yarmuch/Sawiak,Alberta,1.3,1.3
299.,Ryhorchuk/Peterson,Alberta,1.3,1.3
300.,Jacques/Butler,Alberta,1.3,1.3
301.,Yamamoto/Yamamoto,Japan,1.3,1.3
302.,Ector/Jacques,Alberta,1.3,1.3
303.,Kawamura/Matsuda,Japan,1.3,1.3
304.,Ruel/Gendron,Quebec,1.3,1.3
305.,Regza/Regza,Latvia,1.1,1.1
